X20241116.OAPS.3_BC15	X20241116.OAPS.4_BC35	X20241123.OAPS.5_BC14	X20241123.OAPS.5_BC16	X20241123.OAPS.5_BC30	X20241123.OAPS.5_BC33	X20241215.OAPS.3_BC11	X20241215.OAPS.3_BC24	X20241215.OAPS.4_BC16	X20241215.OAPS.4_BC25	X20241215.OAPS.5_BC18	X20241215.OAPS.5_BC20	X20241215.OAPS.6_BC21	X20241215.OAPS.6_BC23	L1.1.BC1	L1.1.BC10	L1.1.BC9	L2.2.BC2	L2.2.BC6	L3.3.BC3	L3.3.BC4	L3.3.BC5	L4.4.BC1	L4.4.BC7	L4.4.BC8
ENSG00000087086.15|871|FTL|protein_coding	2294.51217471891	4116.00179539492	3103.89963832191	3103.89963832191	3282.88332886164	3287.82736104982	3187.32562548896	2990.55474689663	3270.38533939131	3253.89704265252	3421.12018741967	3198.31670008668	3242.03232807123	3417.67446663956	3232.83678913788	3421.14086478529	3238.91704149488	3421.05582563541	3073.02898770947	2871.70800250935	3108.44136902297	3106.36093158983	3401.80195802815	2940.72119288409	3356.48038969535
ENSG00000087460.29|22221|GNAS|protein_coding	1685.76404673226	762.68945978987	2532.97811955961	2293.5401947078	636.23598180895	-182.348050890833	1956.52165781233	2062.19832865123	327.948770534251	373.653691907438	318.039014375365	412.655021012642	304.128273869104	307.722515120519	2113.56908068242	352.160040840371	2074.93315519095	336.920440882329	2092.88631206079	2113.18451735621	381.831178507122	341.112485461819	2097.37908784859	2112.06661602706	363.18294604
ENSG00000089009.16|4442|RPL6|protein_coding	269.253979686402	371.889901881011	308.721870630023	308.721870630023	334.718266588342	325.43200440885	313.586790047844	310.651943926997	320.070774867466	316.510647646804	315.34159622925	336.659255940695	339.148501113621	344.953971392282	334.084902579038	313.424032684604	286.463670725063	386.82855315641	289.32812698817	307.418822973604	329.749325399393	295.458204260567	351.879323652202	311.00187328687	321.270511066014
ENSG00000089157.16|3988|RPLP0|protein_coding	280.960674455376	882.450614632908	587.418653029753	601.559368220834	553.327104321769	586.755445822146	562.385635385043	609.258267816762	523.466462078305	533.747685393163	572.26577642182	560.109412326186	612.374341689081	580.629460378349	580.787170640626	542.970017205848	594.412025692548	505.065911807654	706.518437486848	597.845635752492	543.652871301329	538.581234256566	609.863205561699	592.114871562438	607.974689399206
ENSG00000092841.19|4424|MYL6|protein_coding	58.5334738448701	453.831744668353	257.915486078745	272.061006237132	258.180513917248	239.565572279548	266.599274123779	276.218752036138	241.926313413966	238.100695749281	221.683177667301	254.387267965313	244.220683023171	266.329047594468	266.92976544628	243.885829255534	263.756727995371	241.038917810789	268.101199379434	278.520515589912	240.230358964877	243.891154949541	253.35540283153	275.045427886165	247.312680209276
ENSG00000096384.20|2980|HSP90AB1|protein_coding	152.187031996662	189.09656027848	196.169844841877	191.950722067361	162.364744031658	134.95464235046	204.987953315239	174.26481371273	159.784414688625	139.215758783821	152.033625863331	161.853497151451	137.550211123449	142.680746921516	167.046612025848	114.550267768318	201.187002288622	145.879271963256	195.050520737412	238.633853814038	192.439486659569	145.563817148293	183.139501067774	183.770404449553	138.404816992152
ENSG00000100225.18|8521|FBXO7|protein_coding	316.080758762298	170.186904250632	266.106249689821	280.190693899707	211.801689805988	211.801689805988	251.115811992086	269.941683593104	248.595524545278	227.374566996565	191.096705552651	209.083700475311	223.388525118519	209.737440379064	265.42280910171	224.777362207576	259.219241606587	198.689390281833	275.858911425389	277.47193120479	207.3583329669	230.105433890398	276.594408028314	277.902978736248	209.368537603644
ENSG00000100316.16|4710|RPL3|protein_coding	714.108380907415	1140.88258034683	0	0	0	0	1128.59057679391	667.285833262648	1266.20327839278	930.93571501942	724.493580609632	748.559021863425	894.172113021046	1037.81507988223	2825.38356874301	1701.87355686457	1812.09926904622	2234.63486927192	1405.4459208344	2323.42251784821	2882.53020858858	809.383510008701	3870.10025279824	2389.13893986051	2841.66623802059
ENSG00000100345.22|8909|MYH9|protein_coding	339.494148300246	605.108992891137	389.568589532402	371.427064877114	552.764397525492	571.640831677555	393.53725900753	403.899683393946	598.694298564392	580.172584607825	527.152825349448	540.057561258633	543.495326688991	552.76432978199	371.753297135809	556.765745547938	364.932003621042	519.307935498848	390.484096484921	386.83870003359	624.279139857186	561.672752122375	365.924246846153	398.711655305832	568.88894631851
ENSG00000100422.14|4930|CERK|protein_coding	784.348549521259	516.863931427846	653.170129531524	667.310914449293	641.544164242389	632.239809117651	657.106477373082	643.370236019072	654.118857402849	673.491692036514	614.780028085757	658.752225133855	630.982846450579	619.341354771296	657.968512719645	639.398244181633	666.846449712014	647.350793211819	663.70584336345	659.412064215933	638.050172357501	633.508291486298	654.625551635803	661.133044010418	638.012941937923
ENSG00000100614.18|11907|PPM1A|protein_coding	292.66736922435	214.309434982278	134.93065165994	162.976545979	351.251371302019	375.745204635784	161.183489547897	201.493149471224	324.595947328201	338.348780065009	312.452394389564	365.697031583311	334.341938562236	347.988326654793	165.016489658346	333.124383873057	167.277955225564	331.895464540022	164.528704718414	164.522680374304	349.862594047528	348.009064888857	166.51756759128	164.78466013879	338.086079114457
ENSG00000100836.11|3686|PABPN1|protein_coding	140.480337227688	283.64484041772	124.297658992678	138.862072344463	299.241131516671	304.526636934869	150.47648813018	138.012902680951	281.471514138102	287.858948053249	288.049629688583	286.628594054073	283.835328590186	296.565826224527	132.363223617195	283.874384345636	130.372954143095	282.190524310495	133.505672655063	134.128794479346	305.241179117829	296.796200099428	128.979948239761	139.8297490819	285.062229231302
ENSG00000104529.18|9390|EEF1D|protein_coding	140.480337227688	226.915872334176	163.828557656359	177.652451055398	205.683830207146	187.492136586298	162.645015750346	171.733682153616	190.491236599449	178.595804956929	199.128434022266	187.492055072765	200.372236851868	228.370661940439	166.857867358426	181.205462924938	192.39008816178	173.014458291384	166.597865857404	173.477417568057	234.669680090633	195.597581319205	164.411673450703	169.026172270756	193.244621077631
ENSG00000104765.16|4149|BNIP3L|protein_coding	1756.0042153461	321.464152473416	1287.16252362148	1287.16252362148	790.523678425261	781.216409926892	1186.95186106333	1458.23190057687	740.117227777043	789.424516547957	742.435776616441	747.599014244551	802.161495360942	759.778665568907	1268.08761391574	785.434148879052	1341.19617994225	751.81533607293	1297.51544174289	1382.25862808444	783.932231396092	761.811106503427	1276.63921918256	1275.47337042403	761.03294493359
