	ENSG00000284803.1|312|CH17-66N5.1|lncRNA	ENSG00000281808.1|132|ENSG10010135443.1|snoRNA	ENSG00000270800.3|5231|RPS10-NUDT3|protein_coding	ENSG00000274998.1|133|SNORA17A|snoRNA	ENSG00000232112.3|1139|TMA7|protein_coding	ENSG00000252316.1|96|RNY4|misc_RNA	ENSG00000233016.7|4891|SNHG7|lncRNA	ENSG00000280498.1|135|SNORA16A|snoRNA	ENSG00000288663.1|5699|RP11-680A11.7|lncRNA	ENSG00000277209.1|333|RPPH1|ribozyme	ENSG00000283293.1|328|RN7SK|snRNA	ENSG00000278705.2|1332|H4C2|protein_coding	ENSG00000278771.1|299|RN7SL3|misc_RNA	ENSG00000277209.1|333|RPPH1|ribozyme	ENSG00000282885.2|2034|RP11-596C23.6|lncRNA	ENSG00000277027.1|264|RMRP|ribozyme	ENSG00000288663.1|5699|RP11-680A11.7|lncRNA	ENSG00000274012.1|300|RN7SL2|misc_RNA	ENSG00000276966.2|1487|H4C5|protein_coding	ENSG00000276168.1|299|RN7SL1|misc_RNA
X20241215.OAPS.5_BC18	-0.5157754386841381	-0.04700655993061376	-0.7838863694617179	-0.04700655993061376	-0.6741369244141874	0.1904116485059526	0.012255213362723075	-0.7761478672087847	0.9795524182408499	1.9855534618353499	1.647297385219137	1.3119322817955141	0.15663262041856615	1.9855534618353499	1.196291075253577	1.3921606491964986	0.9795524182408499	1.196291075253577	1.1634642641181852	0.8752165234827073
X20241215.OAPS.5_BC20	-0.6077355089158912	-0.20637366428298895	-1.2708303137351022	-0.20637366428298895	-0.24002949624157363	-0.614424662017803	-0.11478573900674122	-1.0514440338049391	1.3902686893321334	0.5728729817611975	1.8771863154208457	0.8515790152115372	-0.7250793959702222	0.5728729817611975	0.442188373609346	1.4345782892304861	1.3902686893321334	0.442188373609346	0.9041077960645194	0.4544583461790196
X20241215.OAPS.6_BC21	-0.15544304571210807	-0.047642351910255135	-0.3382248666981149	-0.047642351910255135	-0.30832501175235855	-0.5973640858745519	0.013889204046669646	-0.8355424720849072	0.5917950389823798	0.9323139552362982	0.6622053024337136	1.3276182080190002	-0.28104630613969767	0.9323139552362982	-1.4204992150949636	0.3950450648749088	0.5917950389823798	-1.4204992150949636	0.825919272609165	-1.4603456201562615
X20241215.OAPS.6_BC23	-0.2641715050314027	-0.25891869266430256	-0.38686728864964814	-0.25891869266430256	1.023369343435171	-0.6978170263013005	-0.17549095554606065	-1.0682273000986058	1.8505179275246262	-0.47285668697357824	0.969702127791721	1.8317784556282417	-0.746144252898919	-0.47285668697357824	-0.32600025848913294	-0.45688360615811047	1.8505179275246262	-0.32600025848913294	0.5342696921443701	0.10063938862915454
L1.1.BC1	1.3669375670764876	0.18558941892942096	1.375079073740885	0.18558941892942096	-0.020364309619106416	0.15827265071432417	0.09186134837594208	1.0431916675252937	-1.3314513277987663	-0.36203696457391077	-0.7571253059182583	-1.210755755020494	0.575126075076373	-0.36203696457391077	-0.5315714105694442	-0.7363167250302625	-1.3314513277987663	-0.5315714105694442	-1.164361372520116	-0.6785132132010542
L1.1.BC10	-0.9646020661746587	-0.16972455830583147	-0.8229644344887317	-0.16972455830583147	-0.14701754221419577	-0.10470291200273543	-0.09532827370439902	-0.7958253264542001	0.5484129992505816	0.2840300455348673	-0.6713128241916976	-0.14760547397787435	0.5375432593565637	0.2840300455348673	0.42771234195104607	0.5137218408015544	0.5484129992505816	0.42771234195104607	0.7739290023315104	0.46456713377468806
L1.1.BC9	-0.13639985794063877	0.38724573147426383	0.8123341304048307	0.38724573147426383	-0.04911380411237783	0.17316510386368772	0.3170930990289689	1.0958214866626745	-1.4253979816471982	-0.2893631584445874	-0.4696749919877606	0.5333789042125963	1.3529728140077029	-0.2893631584445874	-0.5221372211362678	-0.6078937609599124	-1.4253979816471982	-0.5221372211362678	-1.1312939350580573	-0.66559616019338
L2.2.BC2	-1.1565515247207543	-0.17488636963449591	-0.6494491032617903	-0.17488636963449591	0.0033064763414943584	-0.1089213962780653	-0.10824546322109767	-0.8177826664969875	0.9498771855527632	0.2560312121284823	-0.6304607677757689	0.7519720308376145	-0.8676319611433294	0.2560312121284823	0.3468205908345684	0.5078438263976437	0.9498771855527632	0.3468205908345684	0.8715117729082743	0.4582403448367528
L2.2.BC6	1.091457837880076	0.18553074590443117	1.064901411227604	0.18553074590443117	-0.0993947172153353	0.16239260111760592	0.08671905421007085	1.032196431869112	-0.6768386386053791	-0.37713668075907114	-0.7634942001033085	-0.20307517944472422	0.2504712719461568	-0.37713668075907114	-0.5079618872726654	-0.698557646365393	-0.6768386386053791	-0.5079618872726654	-1.1516581934255519	-0.6085502044816944
L3.3.BC3	0.49627320165801203	0.16958265698422628	0.9298001145275642	0.16958265698422628	-0.11821640449300412	0.155460696946903	0.06979881453315301	1.0938589610840508	-0.9385230970687455	-0.37789595169540535	-0.7412617171451988	0.3749246838554103	-0.6425158406847099	-0.37789595169540535	-0.5988591836345151	-0.7347167270590437	-0.9385230970687455	-0.5988591836345151	-1.109602880931961	-0.6756311230543502
L3.3.BC4	0.5288092513816192	-0.19787527239885513	-0.8920205763293413	-0.19787527239885513	0.0963262236658022	-0.11143574151557248	-0.13695603765291256	-0.8025948765447638	0.9734289801531406	0.2583137702326689	-0.8085123710470223	-0.5971117565890058	1.1069371665454073	0.2583137702326689	0.5079011048307411	0.49748919443083656	0.9734289801531406	0.5079011048307411	0.7848171297056136	0.5577731005910923
L3.3.BC5	-1.2829306333764088	-0.2133345092836458	-1.0933343522333598	-0.2133345092836458	0.017041229647522155	-0.10901541549739813	-0.12873142293001713	-0.8307202031663301	1.0489232874246148	0.2578558195131572	-0.24576350699656815	0.2487721859272216	0.5407352675971859	0.2578558195131572	0.4778432619637501	0.502995640729049	1.0489232874246148	0.4778432619637501	0.8427356453189525	0.5692670561926343
L4.4.BC1	0.6976287487321595	0.19467388393786017	1.3675625536997498	0.19467388393786017	-0.018117184636957776	0.15682149043798405	0.0965167335939954	1.0337475937585152	-1.3988143210447568	-0.3674809561061814	-0.8686075005297565	-0.4830941707722038	-1.2123849755105645	-0.3674809561061814	-0.6082728379888799	-0.7186680202927791	-1.3988143210447568	-0.6082728379888799	-1.064999731509405	-0.6798333669987559
L4.4.BC7	0.5116281070216261	0.24236945743906027	0.7603087730401504	0.24236945743906027	0.020187469318635055	0.18803560329526361	0.14313177393216456	1.0368877996636747	-0.5779312572314113	-0.36924909018079355	-0.3858771082093641	-0.36687595225879854	-0.5761263618909214	-0.36924909018079355	-0.5798034285930035	-0.6330192404771438	-0.5779312572314113	-0.5798034285930035	-0.9347106477948945	-0.6711061198606146
L4.4.BC8	0.22983894013199616	-0.14202162592613826	-0.8710248752743026	-0.14202162592613826	0.10877912450366042	-0.10140615364578463	-0.0706729357094969	-0.8153584508017437	0.698777089312684	0.25207382600361533	-0.4986867756106511	-0.7105273584802014	-1.0424791493017072	0.25207382600361533	0.3555430248526517	0.5181117581860554	0.698777089312684	0.3555430248526517	0.8306268467485287	0.46217332019921903
